cast_id,movie_id,actor_name,role
1,1,Kathryn Bernardo,Lead
2,1,Alden Richards,Lead
5,2,Dingdong Dantes,Lead
6,2,Marian Rivera,Lead
9,3,Joshua Garcia,Lead
10,3,Julia Barretto,Lead
11,3,Bianca de Vera,Supporting
12,3,Kaila Estrada,Supporting
13,4,Dennis Trillo,Lead
14,4,Ruru Madrid,Lead
15,4,Michael De Mesa,Supporting
16,4,Kylie Padilla,Supporting
17,5,Enchong Dee,Lead
18,5,Cedrick Juan,Lead
19,5,Dante Rivero,Lead
20,5,Khalil Ramos,Supporting
21,6,Taki Tachibana,Lead
22,6,Mitsuha Miyamizu,Lead
25,7,Chihiro Ogino,Lead
29,8,Tanjiro Kamado,Lead
30,8,Nezuko Kamado,Lead
31,8,Zenitsu Agatsuma,Supporting
32,8,Inosuke Hashibira,Supporting
33,8,Muzan Kibutsuji,Supporting
34,9,Uta,Lead
35,9,Monkey D. Luffy,Lead
36,9,Roronoa Zoro,Supporting
37,9,Nami,Supporting
38,9,Sanji,Supporting
39,10,Ryota Miyagi,Lead
40,10,Hisashi Mitsui,Lead
41,10,Sakuragi Hanamichi,Supporting
42,10,Takenori Akagi,Supporting
43,10,Rukawa Kaede,Supporting
