media_id,movie_id,mediaType,mediaPath
1,1,poster,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
2,1,trailer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
3,2,poster,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
4,2,trailer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
5,3,poster,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
6,3,trailer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
7,4,poster,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
8,4,trailer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
9,5,poster,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
10,5,trailer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vectorstock.com%2Froyalty-free-vector%2Fhi-icon-greet-and-hello-symbol-flat-vector-6608667&psig=AOvVaw1FBHAKxF3Z5xZaFbWWtbKD&ust=1757141786327000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCIDK-LOFwY8DFQAAAAAdAAAAABAL
